Accession,Collection_Date,Host,Country,Subtype,Length,Isolate
WVV67278,12/17/2023,Homo sapiens,USA,,582,EPI_ISL_18786212
WVV67323,11/12/2023,Homo sapiens,USA,,582,EPI_ISL_18786211
WVV67272,12/18/2023,Homo sapiens,USA,,582,EPI_ISL_18786210
WVV67653,11/15/2023,Homo sapiens,USA,,582,EPI_ISL_18786209
WVV67266,12/20/2023,Homo sapiens,USA,,582,EPI_ISL_18786208
WVV67642,11/11/2023,Homo sapiens,USA,,582,EPI_ISL_18786207
WVV67499,12/18/2023,Homo sapiens,USA,,582,EPI_ISL_18786206
WVV67261,12/18/2023,Homo sapiens,USA,,582,EPI_ISL_18786205
WVV67631,11/28/2023,Homo sapiens,USA,,582,EPI_ISL_18786204
WVV67256,12/6/2023,Homo sapiens,USA,,582,EPI_ISL_18786203
WVV67251,12/18/2023,Homo sapiens,USA,,582,EPI_ISL_18786202
WVV67686,12/1/2023,Homo sapiens,USA,,582,EPI_ISL_18786201
WVV67752,12/10/2023,Homo sapiens,USA,,582,EPI_ISL_18786199
WVV67422,12/4/2023,Homo sapiens,USA,,582,EPI_ISL_18786197
WVV67675,11/30/2023,Homo sapiens,USA,,582,EPI_ISL_18786195
WVV67719,11/19/2023,Homo sapiens,USA,,582,EPI_ISL_18786193
WVV67741,12/10/2023,Homo sapiens,USA,,582,EPI_ISL_18786191
WVV67433,11/17/2023,Homo sapiens,USA,,582,EPI_ISL_18786189
WZD41585,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785942
WVW87783,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785942
WZD41607,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785938
WVW87794,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785938
WZD33199,12/7/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785935
WVW87181,12/7/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785935
WZD35646,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785913
WVW87322,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785913
WZD35711,11/26/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785910
WVW87343,11/26/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785910
WZD35448,11/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785907
WVW87278,11/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785907
WZD33189,11/7/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785904
WVW87171,11/7/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785904
WZD39063,11/26/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785901
WVW87530,11/26/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785901
WZD39084,11/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785898
WVW87541,11/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785898
WZD35624,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785895
WVW87311,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785895
WZD40171,11/28/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785893
WVW87662,11/28/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785893
WZD38823,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785892
WVW87519,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785892
WZD40567,12/10/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785890
WVW87717,12/10/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785890
WZD40611,12/11/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785889
WVW87739,12/11/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785889
WZD35700,11/24/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785887
WVW87332,11/24/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785887
WZD40589,12/10/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785886
WVW87728,12/10/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785886
WZD40556,12/9/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785884
WVW87706,12/9/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785884
WZD36535,12/11/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785883
WVW87376,12/11/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785883
WZD35470,11/17/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785881
WVW87289,11/17/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785881
WZD36568,12/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785880
WVW87398,12/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785880
WZD40391,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785876
WVW87695,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785876
WZD39194,12/17/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785875
WVW87563,12/17/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785875
WZD40358,11/27/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785873
WVW87673,11/27/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785873
WZD36557,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785872
WVW87387,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785872
WZD33208,11/26/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785870
WVW87190,11/26/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785870
WZD35327,12/10/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785869
WVW87234,12/10/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785869
WZD35349,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785867
WVW87256,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785867
WZD35722,11/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785866
WVW87354,11/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785866
WZD41060,12/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785865
WVW87761,12/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785865
WZD39095,12/2/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785864
WVW87552,12/2/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785864
WZD35360,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785863
WVW87267,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785863
WZD41574,11/27/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785862
WVW87772,11/27/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785862
WZD36524,12/5/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785861
WVW87365,12/5/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785861
WZD40149,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785860
WVW87651,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785860
WZD35338,12/10/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785859
WVW87245,12/10/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785859
WZD39271,12/5/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785858
WVW87596,12/5/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785858
WZD39205,12/17/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785857
WVW87574,12/17/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785857
WZD39502,12/6/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785856
WVW87607,12/6/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785856
WZD39678,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785855
WVW87629,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785855
WZD37569,11/28/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785854
WVW87497,11/28/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785854
WZD36799,11/22/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785853
WVW87420,11/22/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785853
WZD38801,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785851
WVW87508,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785851
WZD42344,12/19/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785850
WVW87838,12/19/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785850
WZD37547,11/25/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785849
WVW87486,11/25/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785849
WZD33904,12/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785848
WVW87201,12/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785848
WZD35613,11/30/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785847
WVW87300,11/30/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785847
WZD37151,12/18/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785846
WVW87475,12/18/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785846
WZD39249,11/22/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785845
WVW87585,11/22/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785845
WZD36821,12/12/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785844
WVW87431,12/12/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785844
WZD40369,11/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785843
WVW87684,11/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785843
WZD42289,12/16/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785842
WVW87816,12/16/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785842
WZD34179,12/19/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785841
WVW87212,12/19/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785841
WZD42278,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785840
WVW87805,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785840
WZD40852,12/12/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785839
WVW87750,12/12/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785839
WZD37118,12/13/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785838
WVW87453,12/13/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785838
WZD33182,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785837
WVW87164,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785837
WZD37107,12/11/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785836
WVW87442,12/11/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785836
WZD42322,12/18/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785835
WVW87827,12/18/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785835
WZD39656,11/30/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785834
WVW87618,11/30/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785834
WZD36777,11/13/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785833
WVW87409,11/13/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785833
WZD39689,12/13/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785832
WVW87640,12/13/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785832
WZD37129,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785831
WVW87464,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785831
XHY05573,10/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785829
WVW87223,10/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18785829
WVV65823,11/17/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784783
WVV66051,11/30/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784779
WVV65775,11/28/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784775
WVV66219,11/28/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784771
WVV66039,11/17/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784767
WVV65955,11/23/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784763
WVV66159,12/7/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784760
WVV66063,12/2/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784757
WVV66075,12/8/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784754
WVV65943,11/17/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784751
WVV66147,11/26/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784748
WVV65991,11/15/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784745
WVV66027,12/18/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784741
WVV65739,12/12/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784738
WVV65667,12/13/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784737
WVV65703,12/5/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784735
WVV65847,12/12/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784732
WVV66015,12/18/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784729
WVV65658,12/12/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784727
WVV66003,12/17/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784726
WVV65727,12/11/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784723
WVV65751,12/12/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784719
WVV65763,12/14/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784717
WVV65835,11/29/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784715
WVV65715,12/8/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784713
WVV66111,12/9/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784711
WVV65859,12/12/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784709
WVV65643,12/18/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784707
WVV66183,12/12/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784704
WVV65883,12/11/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784702
WVV65679,12/18/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784700
WVV66207,12/13/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784698
WVV65979,12/1/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784697
WVV65895,12/13/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784696
WVV65799,12/3/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784695
WVV65919,12/18/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784694
WVV65967,11/28/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784693
WVV66267,12/18/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784692
WVV65811,11/13/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784691
WVV66255,12/17/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784690
WVV65787,11/29/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784689
WVV66243,12/17/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784688
WVV66123,12/17/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784687
WVV65931,12/19/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784686
WVV66087,11/29/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784685
WVV66231,12/16/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784684
WVV66195,12/12/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784683
WVV65871,12/11/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784682
WVV65907,12/13/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784670
WVV66099,12/4/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784669
WVV66279,12/18/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784668
WVV65691,12/18/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784667
WVV66135,12/18/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784666
WVV66171,12/10/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18784665
WVS20489,11/29/2023,Homo sapiens,USA,,582,EPI_ISL_18743004
WVS22203,12/10/2023,Homo sapiens,USA,,582,EPI_ISL_18743003
WVS20467,11/29/2023,Homo sapiens,USA,,582,EPI_ISL_18743002
WVS20347,11/30/2023,Homo sapiens,USA,,582,EPI_ISL_18743001
WVS20325,11/27/2023,Homo sapiens,USA,,582,EPI_ISL_18742999
WVS22170,11/30/2023,Homo sapiens,USA,,582,EPI_ISL_18742997
WVS20500,11/30/2023,Homo sapiens,USA,,582,EPI_ISL_18742993
WVS20665,12/11/2023,Homo sapiens,USA,,582,EPI_ISL_18742991
WVS21598,12/13/2023,Homo sapiens,USA,,582,EPI_ISL_18742989
WVS18550,12/6/2023,Homo sapiens,USA,,582,EPI_ISL_18742987
WVS20281,11/30/2023,Homo sapiens,USA,,582,EPI_ISL_18742985
WVS20687,12/21/2023,Homo sapiens,USA,,582,EPI_ISL_18742983
WVS20456,11/29/2023,Homo sapiens,USA,,582,EPI_ISL_18742981
WVS20478,11/29/2023,Homo sapiens,USA,,582,EPI_ISL_18742979
WVS20270,11/28/2023,Homo sapiens,USA,,582,EPI_ISL_18742977
WVS21620,12/14/2023,Homo sapiens,USA,,582,EPI_ISL_18742975
WVS21587,12/10/2023,Homo sapiens,USA,,582,EPI_ISL_18742972
WVS20259,11/27/2023,Homo sapiens,USA,,582,EPI_ISL_18742946
WVS20676,12/21/2023,Homo sapiens,USA,,582,EPI_ISL_18742944
WVS19830,12/3/2023,Homo sapiens,USA,,582,EPI_ISL_18742942
WVS21609,12/13/2023,Homo sapiens,USA,,582,EPI_ISL_18742940
WVS18572,12/7/2023,Homo sapiens,USA,,582,EPI_ISL_18742938
WVS19808,12/1/2023,Homo sapiens,USA,,582,EPI_ISL_18742936
WVS20248,11/20/2023,Homo sapiens,USA,,582,EPI_ISL_18742934
WVS21675,12/6/2023,Homo sapiens,USA,,582,EPI_ISL_18742932
WVS15368,12/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742888
WVS11854,12/9/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742886
WVS11744,11/21/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742884
WVS11799,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742882
WVS14983,12/5/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742880
WVS11198,12/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742878
WVS15379,12/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742876
WVS11568,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742874
WVS13468,12/1/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742872
WVS11188,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742870
WVS17808,12/9/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742868
WVS16377,12/6/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742867
WVS17775,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742866
WVS11810,12/5/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742865
WVS13446,12/1/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742864
WVS17556,11/23/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742863
WVS14632,11/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742862
WVS13305,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742861
WVS16324,12/2/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742860
WVS14972,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742859
WVS16280,11/28/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742858
WVS17578,11/27/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742857
WVS14753,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742856
WVS11579,12/6/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742855
WVS14841,11/17/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742854
WVS13403,11/27/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742853
WVS11865,12/9/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742828
WVS14017,11/27/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742827
WVS14830,11/17/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742826
WVS11755,11/29/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742825
WVS11178,11/25/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742824
WVS11821,12/5/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742822
WVS16969,12/13/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742821
WVS11832,12/6/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742819
WVS14489,11/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742817
WVS13283,12/1/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742815
WVS16980,12/13/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742813
WVS11777,12/2/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742811
WVS17819,12/14/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742809
WVS11876,12/11/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742808
WVS11169,11/23/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742806
WVS11207,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742805
WVS14006,11/27/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742803
WVS14950,11/17/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742796
WVS14610,11/24/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742794
WVS11843,12/7/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742793
WVS14522,12/2/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742791
WVS16388,12/7/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742790
WVS14511,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742788
WVS17567,11/25/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742787
WVS16958,12/12/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742785
WVS14961,11/23/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742784
WVS17000,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742782
WVS17589,11/30/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742781
WVS13457,12/1/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742779
WVS11590,12/6/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742778
WVS16269,11/28/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742776
WVS15357,12/15/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742775
WVS16302,11/30/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742773
WVS13294,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742771
WVS13984,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742770
WVS11788,12/2/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742768
WVS16313,12/2/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742767
WVS11766,12/1/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742765
WVS13370,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742764
WVS14742,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742762
WVS14500,11/16/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742760
WVS16291,11/28/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742758
WVS11162,11/18/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742756
WVS13786,12/4/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742663
WVS15159,12/12/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742661
WVS15170,12/21/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742659
WVS13435,12/1/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742657
WVS15181,12/21/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742655
WVS15148,12/7/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742653
WVS11151,11/20/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742650
WVS14028,12/6/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742648
WVS13995,11/25/2023,Homo sapiens,USA,H1N1,566,EPI_ISL_18742646
WVS10346,11/27/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742598
WVS07885,11/29/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742597
WVS09580,12/6/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742596
WVS09616,12/13/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742595
WVS09208,11/27/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742594
WVS09220,11/28/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742593
WVS09232,11/30/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742592
WVS07693,11/29/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742591
WVS07717,12/1/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742590
WVS09256,12/5/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742589
WVS07537,11/28/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742588
WVS09604,12/11/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742587
WVS08363,12/3/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742586
WVS09244,12/5/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742584
WVS07705,11/30/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742582
WVS07527,11/19/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742580
WVS07741,12/1/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742578
WVS08519,11/30/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742576
WVS08291,11/29/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742575
WVS08855,12/3/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742573
WVS08375,12/5/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742572
WVS10644,12/1/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742570
WVS10358,11/28/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742569
WVS08315,12/5/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742567
WVS08831,12/3/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742566
WVS10322,11/21/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742564
WVS08867,12/5/2023,Homo sapiens,USA,H3N2,566,EPI_ISL_18742563
